refereeAccountId,totalSize,,Previous Change Date,,Current Date,,Activity
31025362,0.05489017, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
26214328,0.02303124, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
3402623,0.01825216, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9149507,0.00581351, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
2948298,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
3011657,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
3066108,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
3722410,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
4204394,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
6492713,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
7675862,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
7701192,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
8264521,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9057639,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9103488,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9129974,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9140803,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9147501,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
9324386,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10170238,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10188360,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10357340,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10366078,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10639761,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10711739,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10826421,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
10928081,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
11000739,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
11068688,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
11243074,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
11463190,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
11476263,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12351440,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12626755,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12645744,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12648991,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12653989,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12654261,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
12964868,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
13463036,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
13615543,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
13619878,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
13627052,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
